scenario,branch,period,region,capacity_gw,clearing_price_usd_per_kw
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2025,eu,22.0,431.849610838845
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2025,us,42.0,425.7446396651315
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2025,apac,110.0,250.31285456164827
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2025,af,3.4,364.5337330391938
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2025,row,293.0,353.41459999485755
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2030,ch,363.7121766935312,107.79092399613533
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2030,eu,34.800669583201866,197.25934032264044
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2030,us,65.082375302994,228.6477203940696
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2030,apac,173.34856615142712,199.62451900688995
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2030,af,5.8999999907549086,307.8972516851513
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2030,row,116.9721700777148,232.999286203069
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2035,ch,352.3666994737828,95.90883300471911
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2035,eu,48.016132337350356,641.4506068906484
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2035,us,85.28004806435003,307.12609320884735
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2035,apac,179.62413553799328,110.0152079510085
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2035,af,8.399999987176068,439.90544176478045
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2035,row,116.96258063373645,440.3897851898544
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2040,ch,343.47023890159846,86.65125721536444
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2040,eu,61.03455776447244,386.8806675076542
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2040,us,95.77766274039125,382.3116921474647
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2040,apac,199.9108395162072,99.41154578214007
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2040,af,10.89999998360167,381.81442862276333
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2040,row,121.8930687998672,303.92437315820064
