candidate,candidate_code,sequence,order,branch,origin,price_factor,capacity_weight,damping,selected_sweep,max_gain_percent,limiting_player,multistart_status,region,region_label,year,capacity_gw,price_usd_per_kw,demand_gw,domestic_output_gw,imports_gw,exports_gw,import_share
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,eu,EU,2030,34.73726365,227.9346984,90,1.58495085e-09,90,34.73726365,1
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,us,US,2030,62.1613805,211.7811631,65,30.26273636,34.73726364,3.06931931e-08,0.5344194406
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,apac,APAC,2030,114.9466952,123.6420624,85,84.99999999,5.335605076e-09,1.207656974e-08,6.277182442e-11
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,row,ROW,2030,133.7686297,232.9367154,70,7.429229545,62.57077045,1.126387343e-08,0.8938681494
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,ch,China,2035,360.2158388,95.90883314,333,332.9999998,1.570887164e-07,2.096070003e-07,4.717378871e-10
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,af,Africa,2035,8.399999984,369.0425236,19.99999999,8.399999713,11.60000028,2.680526148e-07,0.5800000142
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,eu,EU,2035,48.00654131,309.1418343,94.99999999,8.50698848e-08,94.99999991,48.0065412,0.9999999991
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,us,US,2035,87.94041579,298.630082,69.99999998,2.187900415e-08,69.99999996,87.94041575,0.9999999997
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,apac,APAC,2035,129.2828062,110.015208,103,102.9999999,1.169160112e-07,2.785201093e-07,1.135106905e-09
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,row,ROW,2035,133.6334434,207.2850609,78.99999999,78.99999989,1.070484927e-07,40.65304283,1.355044212e-09
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,ch,China,2040,354.9722568,86.6512572,316,316,3.533785292e-09,1.564721937,1.118286485e-11
