candidate,region,region_label,consumer_surplus_billion_usd_pv,producer_surplus_billion_usd_pv,capacity_cost_billion_usd_pv
af-eu-us-apac-row-ch/pf120_k100_a040,us,United States,663.8557003,43.9538002,12.95261761
af-eu-us-apac-row-ch/pf120_k100_a040,apac,Asia-Pacific,994.7195816,287.1277539,18.84969893
af-eu-us-apac-row-ch/pf120_k100_a040,af,Africa,448.1836937,17.97452247,1.912282634
af-eu-us-apac-row-ch/pf120_k100_a040,row,Rest of World,1505.331335,10.29393481,11.34104906
eu-us-af-row-apac-ch/pf080_k050_a030,ch,China,3991.491048,81.97689757,25.8046038
eu-us-af-row-apac-ch/pf080_k050_a030,eu,Europe,1964.589257,24.3574318,8.183637978
eu-us-af-row-apac-ch/pf080_k050_a030,us,United States,696.3643588,7.768610108,9.563109263
eu-us-af-row-apac-ch/pf080_k050_a030,apac,Asia-Pacific,1012.807612,206.8168759,15.21689485
eu-us-af-row-apac-ch/pf080_k050_a030,af,Africa,456.6179352,14.68735792,1.770766106
eu-us-af-row-apac-ch/pf080_k050_a030,row,Rest of World,1530.6245,1.743816889,19.62148575
eu-us-af-row-apac-ch/pf080_k050_a040,ch,China,3991.503036,63.79407866,23.61625041
eu-us-af-row-apac-ch/pf080_k050_a040,eu,Europe,1888.91229,37.08574125,9.768617674
eu-us-af-row-apac-ch/pf080_k050_a040,us,United States,632.2048483,87.71098642,15.68571526
eu-us-af-row-apac-ch/pf080_k050_a040,apac,Asia-Pacific,1038.367192,181.4831945,14.01012276
eu-us-af-row-apac-ch/pf080_k050_a040,af,Africa,438.7584213,22.42720639,1.874248869
eu-us-af-row-apac-ch/pf080_k050_a040,row,Rest of World,1508.729173,19.77241324,17.31551347
eu-us-af-row-apac-ch/pf100_k050_a030,ch,China,3991.491047,11.09381253,22.84250675
eu-us-af-row-apac-ch/pf100_k050_a030,eu,Europe,1894.29382,46.60681774,10.797591
eu-us-af-row-apac-ch/pf100_k050_a030,us,United States,647.2981198,66.66989611,17.41514046
eu-us-af-row-apac-ch/pf100_k050_a030,apac,Asia-Pacific,1057.96136,113.2531738,13.68244685
eu-us-af-row-apac-ch/pf100_k050_a030,af,Africa,446.2441327,18.81724334,1.87831039
eu-us-af-row-apac-ch/pf100_k050_a030,row,Rest of World,1497.975422,40.97192554,19.26690696
eu-us-af-row-apac-ch/pf100_k050_a040,ch,China,3991.491048,77.76708027,23.29644224
eu-us-af-row-apac-ch/pf100_k050_a040,eu,Europe,1881.770452,53.39179488,11.32421794
eu-us-af-row-apac-ch/pf100_k050_a040,us,United States,666.3217906,57.84097096,19.71277672
eu-us-af-row-apac-ch/pf100_k050_a040,apac,Asia-Pacific,997.1643313,221.9455082,13.96082209
eu-us-af-row-apac-ch/pf100_k050_a040,af,Africa,450.2795102,19.37023579,1.806720653
eu-us-af-row-apac-ch/pf100_k050_a040,row,Rest of World,1528.339881,5.632186366,16.72337376
eu-us-af-row-apac-ch/pf100_k100_a030,ch,China,3991.491048,50.0745624,23.06533565
eu-us-af-row-apac-ch/pf100_k100_a030,eu,Europe,1880.74587,45.7449348,9.158919306
eu-us-af-row-apac-ch/pf100_k100_a030,us,United States,647.7027949,61.62158195,13.70914413
eu-us-af-row-apac-ch/pf100_k100_a030,apac,Asia-Pacific,1000.654753,251.439635,17.36299447
eu-us-af-row-apac-ch/pf100_k100_a030,af,Africa,446.6738267,18.58012573,1.884510319
eu-us-af-row-apac-ch/pf100_k100_a030,row,Rest of World,1522.472346,2.822140948,16.613345
eu-us-af-row-apac-ch/pf100_k100_a040,ch,China,3991.491045,72.03490652,23.16471981
eu-us-af-row-apac-ch/pf100_k100_a040,eu,Europe,1852.002811,69.99405821,11.91927096
eu-us-af-row-apac-ch/pf100_k100_a040,us,United States,647.858447,81.13452886,21.11165312
eu-us-af-row-apac-ch/pf100_k100_a040,apac,Asia-Pacific,1013.34546,194.5456632,15.29614407
eu-us-af-row-apac-ch/pf100_k100_a040,af,Africa,444.4351222,21.07274554,1.906739659
eu-us-af-row-apac-ch/pf100_k100_a040,row,Rest of World,1508.973737,24.7261382,16.32477813
eu-us-af-row-apac-ch/pf120_k050_a030,ch,China,3991.491048,87.11975263,24.35428282
eu-us-af-row-apac-ch/pf120_k050_a030,eu,Europe,1946.272446,23.97629179,11.37174784
eu-us-af-row-apac-ch/pf120_k050_a030,us,United States,681.1758763,28.26209896,12.97594325
eu-us-af-row-apac-ch/pf120_k050_a030,apac,Asia-Pacific,1006.771089,219.0947441,17.10203402
eu-us-af-row-apac-ch/pf120_k050_a030,af,Africa,445.3014249,18.67057889,1.869918672
eu-us-af-row-apac-ch/pf120_k050_a030,row,Rest of World,1512.380747,12.1325506,14.40423831
eu-us-af-row-apac-ch/pf120_k050_a040,ch,China,3991.491047,1.905452353,22.24387583
eu-us-af-row-apac-ch/pf120_k050_a040,eu,Europe,1605.888309,199.6413886,12.29927612
eu-us-af-row-apac-ch/pf120_k050_a040,us,United States,558.5177199,181.4385907,20.11826475
eu-us-af-row-apac-ch/pf120_k050_a040,apac,Asia-Pacific,1062.866707,59.90236058,7.141422317
eu-us-af-row-apac-ch/pf120_k050_a040,af,Africa,381.1360148,46.7298329,1.909629415
eu-us-af-row-apac-ch/pf120_k050_a040,row,Rest of World,1452.734514,244.8334385,20.02455771
eu-us-af-row-apac-ch/pf120_k100_a040,ch,China,3991.491048,155.2922216,27.13756029
eu-us-af-row-apac-ch/pf120_k100_a040,eu,Europe,1927.268079,26.14348945,9.55727887
eu-us-af-row-apac-ch/pf120_k100_a040,us,United States,703.8426248,5.123174508,5.719990475
eu-us-af-row-apac-ch/pf120_k100_a040,apac,Asia-Pacific,1019.076718,224.2466701,18.95952104
eu-us-af-row-apac-ch/pf120_k100_a040,af,Africa,450.4474392,16.95555882,1.912279788
eu-us-af-row-apac-ch/pf120_k100_a040,row,Rest of World,1540.270059,-8.71397915e-08,11.69094099
