candidate,candidate_code,sequence,order,branch,origin,price_factor,capacity_weight,damping,selected_sweep,max_gain_percent,limiting_player,multistart_status,year,total_capacity_gw,total_demand_gw,capacity_demand_ratio,mean_price_usd_per_kw,demand_weighted_price_usd_per_kw,price_dispersion_usd_per_kw,cross_border_trade_gw,cross_border_share,china_capacity_share,apac_capacity_share
af-eu-us-apac-row-ch/pf100_k100_a040,AF-pf100_k100_a040,af-eu-us-apac-row-ch,AF-first,pf100_k100_a040,new_reinitialization,1,1,0.4,12,0.8041774943,apac,not_yet_audited,2030,692.7347797,673.9999999,1.027796409,191.813493,154.2914601,53.97223483,238.9997217,0.3545989937,0.7284752807,0.2496832332
af-eu-us-apac-row-ch/pf100_k100_a040,AF-pf100_k100_a040,af-eu-us-apac-row-ch,AF-first,pf100_k100_a040,new_reinitialization,1,1,0.4,12,0.8041774943,apac,not_yet_audited,2035,755.2000921,700,1.078857274,197.4477818,155.9083967,63.89108298,252.1151146,0.3601644495,0.6674226738,0.312328205
af-eu-us-apac-row-ch/pf100_k100_a040,AF-pf100_k100_a040,af-eu-us-apac-row-ch,AF-first,pf100_k100_a040,new_reinitialization,1,1,0.4,12,0.8041774943,apac,not_yet_audited,2040,819.5628635,733,1.118093948,179.9906679,142.8941761,61.77628516,275.4159915,0.3757380512,0.6178241782,0.3631607846
af-eu-us-apac-row-ch/pf120_k050_a030,AF-pf120_k050_a030,af-eu-us-apac-row-ch,AF-first,pf120_k050_a030,new_reinitialization,1.2,0.5,0.3,13,0.9517448123,apac,not_yet_audited,2025,1401.4,549,2.552641166,255.1158846,209.7581993,55.81744176,174.9999813,0.3187613503,0.6643356643,0.07849293564
af-eu-us-apac-row-ch/pf120_k050_a030,AF-pf120_k050_a030,af-eu-us-apac-row-ch,AF-first,pf120_k050_a030,new_reinitialization,1.2,0.5,0.3,13,0.9517448123,apac,not_yet_audited,2030,709.9267471,674,1.053303779,193.7398754,155.6604792,52.23188046,230.2052437,0.3415508067,0.7400243423,0.2428074206
af-eu-us-apac-row-ch/pf120_k050_a030,AF-pf120_k050_a030,af-eu-us-apac-row-ch,AF-first,pf120_k050_a030,new_reinitialization,1.2,0.5,0.3,13,0.9517448123,apac,not_yet_audited,2035,742.1104161,700,1.060157737,172.859714,140.7077864,48.30513175,259.6002574,0.3708575106,0.6673431234,0.3162906612
af-eu-us-apac-row-ch/pf120_k050_a030,AF-pf120_k050_a030,af-eu-us-apac-row-ch,AF-first,pf120_k050_a030,new_reinitialization,1.2,0.5,0.3,13,0.9517448123,apac,not_yet_audited,2040,782.2388376,733,1.067174403,172.0661153,143.6553378,50.83554232,278.8781581,0.3804613344,0.6327153761,0.3517882657
af-eu-us-apac-row-ch/pf120_k050_a040,AF-pf120_k050_a040,af-eu-us-apac-row-ch,AF-first,pf120_k050_a040,new_reinitialization,1.2,0.5,0.4,11,0.7860138941,apac,not_yet_audited,2025,1401.4,549,2.552641166,250.8378657,207.2628673,53.94395376,174.9999998,0.3187613839,0.6643356643,0.07849293564
af-eu-us-apac-row-ch/pf120_k050_a040,AF-pf120_k050_a040,af-eu-us-apac-row-ch,AF-first,pf120_k050_a040,new_reinitialization,1.2,0.5,0.4,11,0.7860138941,apac,not_yet_audited,2030,737.2611149,674,1.093859221,193.2824491,155.6937923,54.23012032,238.6827159,0.3541286586,0.7503331513,0.2343948868
af-eu-us-apac-row-ch/pf120_k050_a040,AF-pf120_k050_a040,af-eu-us-apac-row-ch,AF-first,pf120_k050_a040,new_reinitialization,1.2,0.5,0.4,11,0.7860138941,apac,not_yet_audited,2035,737.1675938,700,1.053096563,173.1790588,140.8423026,49.35406216,252.8124148,0.3611605925,0.6651510976,0.3196724536
af-eu-us-apac-row-ch/pf120_k050_a040,AF-pf120_k050_a040,af-eu-us-apac-row-ch,AF-first,pf120_k050_a040,new_reinitialization,1.2,0.5,0.4,11,0.7860138941,apac,not_yet_audited,2040,796.4600881,733,1.086575836,158.3452193,130.4661978,45.94289517,279.825633,0.3817539331,0.6159212141,0.3700487289
eu-us-af-row-apac-ch/pf100_k050_a030,EU-pf100_k050_a030,eu-us-af-row-apac-ch,EU-first,pf100_k050_a030,new_reinitialization,1,0.5,0.3,15,0.8603590553,apac,not_yet_audited,2025,1401.4,549,2.552641166,250.5469482,207.4981101,51.69665723,174.9999999,0.3187613842,0.6643356643,0.07849293564
eu-us-af-row-apac-ch/pf100_k050_a030,EU-pf100_k050_a030,eu-us-af-row-apac-ch,EU-first,pf100_k050_a030,new_reinitialization,1,0.5,0.3,15,0.8603590553,apac,not_yet_audited,2030,727.2320783,674,1.078979345,195.9203485,156.3043155,53.79775093,236.5038161,0.3508958697,0.7296389052,0.2353966782
eu-us-af-row-apac-ch/pf100_k050_a030,EU-pf100_k050_a030,eu-us-af-row-apac-ch,EU-first,pf100_k050_a030,new_reinitialization,1,0.5,0.3,15,0.8603590553,apac,not_yet_audited,2035,779.9847957,700,1.114263994,173.4048802,140.9496367,49.21851706,261.1085101,0.3730121573,0.6688379407,0.2985979095
eu-us-af-row-apac-ch/pf100_k050_a030,EU-pf100_k050_a030,eu-us-af-row-apac-ch,EU-first,pf100_k050_a030,new_reinitialization,1,0.5,0.3,15,0.8603590553,apac,not_yet_audited,2040,840.4821556,732.9999999,1.146633227,157.6954651,129.9467573,45.56186007,288.0763706,0.3930100554,0.6207140938,0.3490344427
eu-us-af-row-apac-ch/pf120_k050_a030,EU-pf120_k050_a030,eu-us-af-row-apac-ch,EU-first,pf120_k050_a030,new_reinitialization,1.2,0.5,0.3,13,0.8094185635,apac,not_yet_audited,2025,1401.4,549,2.552641166,250.6164093,207.9611573,53.60912862,174.9999999,0.3187613842,0.6643356643,0.07849293564
eu-us-af-row-apac-ch/pf120_k050_a030,EU-pf120_k050_a030,eu-us-af-row-apac-ch,EU-first,pf120_k050_a030,new_reinitialization,1.2,0.5,0.3,13,0.8094185635,apac,not_yet_audited,2030,703.4784564,674,1.043736582,191.9872531,154.8866561,53.06683934,238.6346496,0.3540573437,0.7380265088,0.245642527
eu-us-af-row-apac-ch/pf120_k050_a030,EU-pf120_k050_a030,eu-us-af-row-apac-ch,EU-first,pf120_k050_a030,new_reinitialization,1.2,0.5,0.3,13,0.8094185635,apac,not_yet_audited,2035,753.1436493,700,1.075919499,171.3481122,140.3365806,47.32456556,263.6863881,0.3766948402,0.6719814662,0.3128246497
eu-us-af-row-apac-ch/pf120_k050_a030,EU-pf120_k050_a030,eu-us-af-row-apac-ch,EU-first,pf120_k050_a030,new_reinitialization,1.2,0.5,0.3,13,0.8094185635,apac,not_yet_audited,2040,812.7808497,732.9999999,1.108841541,156.740201,129.5182867,44.21393738,287.1435459,0.3917374434,0.6218235517,0.3639170243
eu-us-af-row-apac-ch/pf120_k050_a040,EU-pf120_k050_a040,eu-us-af-row-apac-ch,EU-first,pf120_k050_a040,new_reinitialization,1.2,0.5,0.4,9,0.8106346252,apac,not_yet_audited,2025,1401.4,549,2.552641166,250.0246558,207.1524849,51.05125617,174.9999999,0.3187613841,0.6643356643,0.07849293564
eu-us-af-row-apac-ch/pf120_k050_a040,EU-pf120_k050_a040,eu-us-af-row-apac-ch,EU-first,pf120_k050_a040,new_reinitialization,1.2,0.5,0.4,9,0.8106346252,apac,not_yet_audited,2030,774.9559558,674,1.149786285,196.0707798,156.6452989,55.16628183,235.0490966,0.348737532,0.7556650215,0.2226143007
eu-us-af-row-apac-ch/pf120_k050_a040,EU-pf120_k050_a040,eu-us-af-row-apac-ch,EU-first,pf120_k050_a040,new_reinitialization,1.2,0.5,0.4,9,0.8106346252,apac,not_yet_audited,2035,827.7652468,699.9999999,1.182521781,172.183834,140.3595024,47.87620939,260.2134703,0.371733529,0.6961221027,0.2838238662
eu-us-af-row-apac-ch/pf120_k050_a040,EU-pf120_k050_a040,eu-us-af-row-apac-ch,EU-first,pf120_k050_a040,new_reinitialization,1.2,0.5,0.4,9,0.8106346252,apac,not_yet_audited,2040,886.9284233,733,1.209997849,154.3261615,128.570961,42.89115157,290.3007496,0.3960446789,0.6498820223,0.331446042
eu-us-af-row-apac-ch/pf120_k100_a040,EU-pf120_k100_a040,eu-us-af-row-apac-ch,EU-first,pf120_k100_a040,new_reinitialization,1.2,1,0.4,1,0.8948696892,apac,not_yet_audited,2025,1401.4,549,2.552641166,208.4857204,185.5787818,24.54594246,171.6,0.312568306,0.6643356643,0.07849293564
eu-us-af-row-apac-ch/pf120_k100_a040,EU-pf120_k100_a040,eu-us-af-row-apac-ch,EU-first,pf120_k100_a040,new_reinitialization,1.2,1,0.4,1,0.8948696892,apac,not_yet_audited,2030,1164.196828,674,1.727294997,142.4345742,127.1886603,19.15924413,235.4594988,0.3493464374,0.7263206163,0.1400172224
eu-us-af-row-apac-ch/pf120_k100_a040,EU-pf120_k100_a040,eu-us-af-row-apac-ch,EU-first,pf120_k100_a040,new_reinitialization,1.2,1,0.4,1,0.8948696892,apac,not_yet_audited,2035,1208.219221,700,1.726027458,126.8811314,114.7202131,17.66133586,258.9600212,0.3699428874,0.6996552394,0.1703224358
eu-us-af-row-apac-ch/pf120_k100_a040,EU-pf120_k100_a040,eu-us-af-row-apac-ch,EU-first,pf120_k100_a040,new_reinitialization,1.2,1,0.4,1,0.8948696892,apac,not_yet_audited,2040,1246.171862,733,1.700098038,118.3474483,106.8349247,17.69289021,284.4600288,0.3880764377,0.677088714,0.1956569509
