sequence,order_label,sweep,movement_percent,raw_best_response_move_percent,all_solves_acceptable,stable_count,final_status,solve_quality
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,21,1.851285092,4.628212731,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,22,7.680217928,45.09311687,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,23,11.31648462,41.92721164,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,24,13.15009075,39.75124988,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,25,14.64231815,42.20164813,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,26,16.16362752,46.11397893,False,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,27,14.71950111,31.38327876,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,28,88.23528847,220.588235,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,29,52.94117639,132.352941,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,30,31.76470584,79.4117646,False,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,31,26.59433637,66.48584093,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,32,20.16097619,126.0061012,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,33,24.19317143,75.60366073,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,34,21.77385429,45.36219646,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,35,17.52624506,27.88707801,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,36,14.42889471,24.45717297,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,37,12.12890444,21.69729758,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,38,10.45059657,19.83283693,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,39,9.24145034,18.56932748,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,40,8.380775748,17.72440965,False,0,not_converged,solve_quality_caveat
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,1,79.99746791,99.99683489,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,2,37.71420208,62.85700347,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,3,202.6132087,316.5831386,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,4,81.0452835,63.31662776,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,5,24.31358504,16.07751838,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,6,6.483622687,7.69208675,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,7,4.952580585,6.554886068,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,8,4.074852334,5.730261095,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,9,28.36260671,63.31572919,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,10,19.97406308,43.63137173,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,11,100.4163258,188.3418172,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,12,16.52775723,90.78968203,True,0,not_converged,no_saved_solve_failure_flag
